"","Date","Site","Stimuli","Phase","Phase_dur","Total_calls","Total_ditonal","Avedur_ditonal","Total_monotonal","Total_bell","Total_alert","Total_redtail","Total_trains","Avenum_elements","Avedur_trains","Avedur_silence","Avedur_delta","Pre.Phase_dur","Pre.Total_calls","Pre.Total_ditonal","Pre.Avedur_ditonal","Pre.Total_monotonal","Pre.Total_bell","Pre.Total_alert","Pre.Total_redtail","Pre.Total_trains","Pre.Avenum_elements","Pre.Avedur_trains","Pre.Avedur_silence","Pre.Avedur_delta","Approach","Video_dur","Feed_dur","Pre.Approach","Pre.Video_dur","Pre.Feed_dur","Corr.Total_calls","Corr.Avenum_elements","Corr.Avedur_ditonal","Feed_rate","Pre.Feed_rate","Corr.Feed_rate","Corr.Avgnum_calls","DutyCycle"
"17",20151116,1,"EASO","Post",270.4772,70,88,0.32425,NA,NA,NA,NA,14,1.257142857,1.047928571,0.211111111,0.554777778,331.32,5,18,0.375555556,NA,NA,NA,NA,5,3.6,2.0014,0.241769231,0.615230769,NA,290,23,NA,300,43,65,-2.342857143,-0.051305556,4.75862068965517,8.6,-3.84137931034483,14.418960267261,0.10549502878616
"18",20151120,1,"GHOW","Post",289.2825,70,9,0.388144444,NA,NA,NA,NA,NA,0.128571429,NA,NA,NA,322.2741,5,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,290,11,NA,300,60,65,0.128571429,0.388144444,2.27586206896552,12,-9.72413793103448,13.4816312773846,0.0120757390993233
"19",20141119,3,"EASO","Present",279.176,22,25,0.37016,NA,NA,NA,NA,3,1.136363636,1.0751,0.298033333,0.697066667,310.485,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,280,0,NA,293,0,22,NA,0.37016,0,0,0,4.72820013181649,0.033147548499871
"20",20141119,3,"GHOW","Present",273.6637,25,35,0.351885714,NA,NA,NA,NA,5,1.4,1.44756,0.195816667,0.53717,330.797,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,273,0,NA,313,128,25,NA,0.351885714,0,24.5367412140575,-24.5367412140575,5.48118000304754,0.0450041419084811
"21",20141203,3,"AMRO","Present",288.687,10,11,0.354545455,NA,NA,NA,NA,1,1.1,0.8313,0.096,0.4729,325.51,91,99,0.363878788,NA,NA,NA,NA,7,1.08791208791209,1.0176,0.262842857,0.654442857,0,288,49,NA,316,90,-81,0.0120879120879123,-0.009333333,10.2083333333333,17.0886075949367,-6.88027426160337,-16.8348418875807,0.0135094410382179
"22",20141203,3,"GHOW","Present",280.914,46,59,0.358827119,NA,NA,NA,NA,8,1.282608696,1.3965625,0.2026,0.597669231,325.755,2,1,0.351,8,NA,NA,2,NA,0.5,NA,NA,NA,2,281,5,NA,306,26,44,0.782608696,0.00782711900000005,1.06761565836299,5.09803921568628,-4.03042355732329,9.3978940173861,0.0753639904775127
"23",20141205,1,"AMRO","Present",283.9795,46,12,0.430541667,NA,NA,NA,NA,8,0.260869565,NA,NA,NA,315.113,2,6,0.353233333,NA,NA,NA,NA,NA,3,NA,NA,NA,2,284,75,NA,300,90,44,-2.739130435,0.077308334,15.8450704225352,18,-2.15492957746479,9.29644569414342,0.0181932146651431
"24",20141222,2,"GHOW","Present",156.7931,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,327.218,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,154,0,NA,309,0,0,NA,0,0,0,0,0,0
"25",20150122,6,"AMRO","Present",224.139,7,11,0.385181818,NA,NA,NA,NA,4,1.571428571,0.997525,0.1912,0.604975,323.748,19,23,0.369786957,NA,NA,NA,NA,3,1.21052631578947,1.217333333,0.266,0.617,3,225,22,NA,302,0,-12,0.360902255210526,0.015394861,5.86666666666667,0,5.86666666666667,-3.21229237214407,0.0189034482977081
"26",20150122,6,"EASO","Present",237.076,1,2,0.4885,NA,NA,NA,NA,1,2,1.0549,0.0628,0.58,338.886,7,15,0.337966667,NA,NA,NA,NA,5,2.14285714285714,1.28816,0.1761,0.48695,3,238,0,NA,317,10,-6,-0.142857142857143,0.150533333,0,1.89274447949527,-1.89274447949527,-1.51850039649733,0.00412104135382746
"27",20150123,6,"GHOW","Present",251.955,27,35,0.356565714,NA,NA,NA,NA,7,1.296296296,1.127657143,0.261477778,0.606322222,334.9932,3,4,0.42775,NA,NA,NA,NA,1,1.33333333333333,1.016,0.0185,0.532,2,252,0,NA,309,21,24,-0.0370370373333333,-0.071184286,0,4.07766990291262,-4.07766990291262,5.71530630469727,0.0495318608084777
"28",20150204,6,"EASO","Present",232.056,2,3,0.362666667,NA,NA,NA,NA,1,1.5,0.9716,0.2143,0.5764,323.075,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,232,0,NA,300,10,2,NA,0.362666667,0,2,-2,0.517116558072189,0.00468852346416382
"29",20150212,2,"EASO","Present",252.65,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,328.761,13,16,0.2930875,NA,NA,NA,NA,2,1.23076923076923,0.97945,0.193033333,0.495366667,NA,255,0,NA,313,0,-13,-1.23076923076923,-0.2930875,0,0,0,-3.08727488620621,0
"30",20150304,2,"AMRO","Present",246.942,13,15,0.353426667,NA,NA,NA,NA,2,1.153846154,0.94745,0.27675,0.6175,336.905,13,13,0.375392308,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,246,0,NA,285,0,0,0.153846154,-0.021965641,0,0,0,0,0.0214681990305416
"31",20150310,4,"EASO","Present",244.6854,26,26,0.376269231,NA,28,134,NA,NA,1,NA,NA,NA,326.704,8,14,0.42755,NA,7,127,NA,4,1.75,1.238625,0.310325,0.66574,2,243,0,NA,299,3,18,-0.75,-0.051280769,0,0.602006688963211,-0.602006688963211,4.41383098460309,0.0399819523600509
"32",20150310,4,"GHOW","Present",240.871,36,61,0.231654098,NA,49,112,NA,23,1.694444444,0.600108696,0.0932875,0.324175,304.139,53,66,0.340216667,NA,18,199,NA,7,1.24528301886792,1.282928571,0.2226,0.556025,3,241,0,NA,301,9,-17,0.449161425132075,-0.108562569,0,1.79401993355482,-1.79401993355482,-4.23463181537005,0.0586658417908341
"33",20150311,4,"AMRO","Present",235.6824,0,0,0,NA,NA,253,NA,NA,0,NA,NA,NA,315.258,26,29,0.43742069,NA,1,65,4,4,1.11538461538462,1.1624,0.264175,0.700125,0,230,0,NA,240,32,-26,-1.11538461538462,-0.43742069,0,8,-8,-6.61907719880653,0
"34",20151116,1,"AMRO","Present",227.4951,15,20,0.36569,NA,NA,NA,NA,4,1.333333333,1.181375,0.21312,0.61512,318.9453,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,228,182,NA,300,173,15,NA,0.36569,47.8947368421053,34.6,13.2947368421053,3.95612916497982,0.0321492638742549
"35",20151116,1,"EASO","Present",225.263,28,30,0.3283,NA,NA,NA,NA,2,1.071428571,0.8145,0.1515,0.4875,331.32,5,18,0.375555556,NA,NA,NA,NA,5,3.6,2.0014,0.241769231,0.615230769,4,225,38,NA,300,43,23,-2.528571429,-0.047255556,10.1333333333333,8.6,1.53333333333333,6.12617251834522,0.043722226908103
"36",20151120,1,"GHOW","Present",215.0524,28,134,0.397649254,NA,NA,NA,NA,16,4.785714286,1.10379375,0.238982353,0.645688235,322.2741,5,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,2,219,29,NA,300,60,23,4.785714286,0.397649254,7.94520547945205,12,-4.05479452054795,6.41704068403794,0.247776821072446
